一	y ī
驞	p īn
驟	zh òu
驠	y àn
驡	l óng
驢	l ǘ
驣	t éng
驤	x iāng
驥	j ì
驦	sh uāng
驧	j ú
驨	x í
驩	h uān
驪	l í
驫	b iāo
马	m ǎ
马上	m ǎ sh àng
马上功成	m ǎ sh àng g ōng ch éng
马上墙头	m ǎ sh àng q iáng t óu
马上得天下	m ǎ sh àng d é t iān x ià
马上房子	m ǎ sh àng f áng z i
马上看花	m ǎ sh àng k àn h uā
马不停蹄	m ǎ b ù t íng t í
马不解鞍	m ǎ b ù j iě ān
马中关五	m ǎ zh ōng g uān w ǔ
马仔	m ǎ z ǎi
马仰人翻	m ǎ y ǎng r én f ān
马克思	m ǎ k è s ī
马克思主义	m ǎ k è s ī zh ǔ y ì
马克思列宁主义	m ǎ k è s ī l iè n íng zh ǔ y ì
马入华山	m ǎ r ù h uà sh ān
马六甲	m ǎ l iù j iǎ
马刺	m ǎ c ì
马前卒	m ǎ q ián z ú
马勃	m ǎ b ó
马勃牛溲	m ǎ b ó n iú s ōu
马勒	m ǎ l è
马号	m ǎ h ào
马后炮	m ǎ h òu p ào
马咽车阗	m ǎ y ān ch ē t ián
马圈	m ǎ j uàn
马壮人强	m ǎ zh uàng r én q iáng
马大哈	m ǎ d à h ā
马夫	m ǎ f ū
马头	m ǎ t óu
马头琴	m ǎ t óu q ín
马子	m ǎ z i
马尘不及	m ǎ ch én b ù j í
马尼拉麻	m ǎ n í l ā m á
马尾	m ǎ y ǐ
马尾巴	m ǎ y ǐ b ā
马尾松	m ǎ w ěi s ōng
马尾藻	m ǎ w ěi z ǎo
马尾辫	m ǎ w ěi b iàn
马尿	m ǎ n iào
马戏	m ǎ x ì
马扎	m ǎ zh á
马拉松	m ǎ l ā s ōng
马拉松赛跑	m ǎ l ā s ōng s ài p ǎo
马放南山	m ǎ f àng n án sh ān
马术	m ǎ sh ù
马歇尔计划	m ǎ x iē ěr j ì h uà
马水车龙	m ǎ sh uǐ ch ē l óng
马牛其风	m ǎ n iú q í f ēng
马瘦毛长	m ǎ sh òu m áo ch áng
马空冀北	m ǎ k ōng j ì b ěi
马翻人仰	m ǎ f ān r én y ǎng
马耳东风	m ǎ ěr d ōng f ēng
马耳春风	m ǎ ěr ch ūn f ēng
马角乌头	m ǎ j iǎo w ū t óu
马角乌白	m ǎ j iǎo w ū b ái
马赫数	m ǎ h è sh ù
马足车尘	m ǎ z ú ch ē ch én
马足龙沙	m ǎ z ú l óng sh ā
马车	m ǎ ch ē
马车夫	m ǎ ch ē f ū
马面牛头	m ǎ m iàn n iú t óu
马革盛尸	m ǎ g é sh èng sh ī
马鞭子	m ǎ b iān z i
马齿徒长	m ǎ ch ǐ t ú zh ǎng
马龙车水	m ǎ l óng ch ē sh uǐ
驭	y ù
驮	t uó
驯	x ùn
驯化	x ùn h uà
驯服	x ùn f ú
驰	ch í
驰名中外	ch í m íng zh ōng w ài
驰名当世	ch í m íng d āng sh ì
驰志伊吾	ch í zh ì y ī w ú
驰风骋雨	ch í f ēng ch ěng y ǔ
驰骋疆场	ch í ch ěng j iāng ch ǎng
驰高鹜远	ch í g āo w ù y uǎn
驱	q ū
驱散	q ū s àn
驱羊战狼	q ū y áng zh àn l áng
驱羊攻虎	q ū y áng g ōng h ǔ
驱虫剂	q ū ch óng j ì
驱车	q ū ch ē
驱迫	q ū p ò
驱逐令	q ū zh ú l ìng
驱邪	q ū x ié
驲	r ì
驳	b ó
驳倒	b ó d ǎo
驳壳枪	b ó k é q iāng
驳论	b ó l ùn
驴	l ǘ
驴唇不对马嘴	l ǘ ch ún b ù d uì m ǎ z uǐ
驴唇马觜	l ǘ ch ún m ǎ z ī
驴头不对马嘴	l ǘ t óu b ù d uì m ǎ z uǐ
驴子	l ǘ z i
驴打滚	l ǘ d ǎ g ǔn
驵	z ǎng
驶	sh ǐ
驷	s ì
驷不及舌	s ì b ù j í sh é
驷之过蠙	s ì zh ī g uò p ín
驷之过隙	s ì zh ī g uò x ì
驷马不追	s ì m ǎ b ù zh uī
驷马仰秣	s ì m ǎ y ǎng m ò
驷马莫追	s ì m ǎ m ò zh uī
驷马轩车	s ì m ǎ x uān ch ē
驷马难追	s ì m ǎ n án zh uī
驷马高盖	s ì m ǎ g āo g ài
驷马高车	s ì m ǎ g āo ch ē
驸	f ù
驹	j ū
驹光过隙	j ū g uāng g uò x ì
驹留空谷	j ū l iú k ōng g ǔ
驹齿未落	j ū ch ǐ w èi l uò
驺	z ōu
驻	zh ù
驻地	zh ù d ì
驻屯	zh ù t ún
驻扎	zh ù zh ā
驻红却白	zh ù h óng q uè b ái
驻颜有术	zh ù y án y ǒu sh ù
驼	t uó
驼背	t uó b èi
驽	n ú
驽马铅刀	n ú m ǎ q iān d āo
驾	j ià
驾车	j ià ch ē
驾驶室	j ià sh ǐ sh ì
驿	y ì
驿卒	y ì z ú
骀	d ài
骀背鹤发	d ài b èi h è f ā
骁	x iāo
骁将	x iāo j iàng
骂	m à
骂不绝口	m à b ù j ué k ǒu
骂大街	m à d à j iē
骂天咒地	m à t iān zh òu d ì
骂天扯地	m à t iān ch ě d ì
骂骂咧咧	m à m à l iē l iē
骃	y īn
骄	j iāo
骄佚奢淫	j iāo y ì sh ē y ín
骄侈暴佚	j iāo ch ǐ b ào y ì
骄儿騃女	j iāo ér s ì n ǚ
骄奢淫佚	j iāo sh ē y ín y ì
骄奢淫泆	j iāo sh ē y ín y ì
骄横	j iāo h èng
骄泰淫泆	j iāo t ài y ín y ì
骄矜	j iāo j īn
骄纵	j iāo z òng
骅	h uá
骆	l uò
骆驼刺	l uò t uó c ì
骆驿不绝	l uò y ì b ù j ué
骇	h ài
骇人闻见	h ài r én w én j iàn
骇龙走蛇	h ài l óng z ǒu sh é
骈	p ián
骈体	p ián t ǐ
骈兴错出	p ián x īng c uò ch ū
骈四俪六	p ián s ì l ì l iù
骈拇枝指	p ián m ǔ zh ī zh ǐ
骈枝	p ián zh ī
骈枝俪叶	p ián zh ī l ì y è
骈肩累足	p ián j iān l ěi z ú
骈肩累踵	p ián j iān l èi zh ǒng
骈肩累迹	p ián j iān l ěi j ì
骈首就系	p ián sh ǒu j iù x ì
骉	b iāo
骊	l í
骋	ch ěng
骋嗜奔欲	ch ěng sh ì b ēn y ù
骋耆奔欲	ch ěng q í b ēn y ù
验	y àn
验放	y àn f àng
验明正身	y àn m íng zh èng sh ēn
验查	y àn ch á
验核	y àn h é
验照	y àn zh ào
验看	y àn k àn
验票	y àn p iào
验血	y àn x uè
骍	x īng
骎	q īn
骏	j ùn
骏骨牵盐	j ùn g ǔ q iān y án
骐	q í
骐骥困盐车	q í j ì k ùn y án ch ē
骐骥过隙	q í j ì g uò x ì
骑	q í
骑上扬州鹤	q í sh àng y áng zh ōu h è
骑乘	q í ch éng
骑射	q í sh è
骑曹不记马	q í c áo b ù j ì m ǎ
骑牛读汉书	q í n iú d ú h àn sh ū
骑缝	q í f èng
骑缝印	q í f èng y ìn
骑缝章	q í f èng zh āng
骑者善堕	q í zh ě sh àn d uò
骑虎难下	q í h ǔ n án x ià
骑驴倒堕	q í l ǘ d ǎo d uò
骑驴吟灞上	q í l ǘ y ín b à sh àng
骑驴索句	q í l ǘ s uǒ j ù
骑驴风雪中	q í l ǘ f ēng x uě zh ōng
骑鹤上扬	q í h è sh àng y áng
骑鹤上扬州	q í h è sh àng y áng zh ōu
骑鹤上维扬	q í h è sh àng w éi y áng
骑龙弄凤	q í l óng n òng f èng
骒	k è
骓	zh uī
骔	z ōng
骕	s ù
骖	c ān
骖风驷霞	c ān f ēng s ì x iá
骗	p iàn
骗子	p iàn z i
骗术	p iàn sh ù
骘	zh ì
骙	k uí
骚	s āo
骚乱	s āo l uàn
骚人	s āo r én
骚人墨士	s āo r én m ò sh ì
骚人墨客	s āo r én m ò k è
骚人词客	s āo r én c í k è
骚人逸客	s āo r én y ì k è
骚人雅士	s āo r én y ǎ sh ì
骚体	s āo t ǐ
骚动	s āo d òng
骚客	s āo k è
骚情赋骨	s āo q íng f ù g ǔ
骚扰	s āo r ǎo
骚气	s āo q ì
骚翁墨客	s āo w ēng m ò k è
骚货	s āo h uò
骛	w ù
骜	ào
骝	l iú
骞	q iān
骟	sh àn
骠	b iāo
骠勇	p iào y ǒng
骠骑	p iào q í
骡	l uó
骡子	l uó z i
骢	c ōng
骣	ch ǎn
骤	zh òu
骤不及防	zh òu b ù j í f áng
骤增	zh òu z ēng
骤起	zh òu q ǐ
骤降	zh òu j iàng
骤雨	zh òu y ǔ
骤雨暴风	zh òu y ǔ b ào f ēng
骤雨狂风	zh òu y ǔ k uáng f ēng
骤风急雨	zh òu f ēng j í y ǔ
骤风暴雨	zh òu f ēng b ào y ǔ
骥	j ì
骥伏盐车	j ì f ú y án ch ē
骥服盐车	j ì f ú y án ch ē
骦	sh uāng
骧	x iāng
骨	g ǔ
骨刺	g ǔ c ì
骨力	g ǔ l ì
骨化	g ǔ h uà
骨化形销	g ǔ h uà x íng x iāo
骨化风成	g ǔ h uà f ēng ch éng
骨头	g ǔ t ou
骨头架子	g ú t ou j ià z i
骨子	g ǔ z i
骨子里	g ǔ z i l ǐ
骨学	g ǔ x ué
骨寒毛竖	g ǔ h án m áo sh ù
骨干	g ǔ g àn
骨库	g ǔ k ù
骨折	g ǔ zh é
骨料	g ǔ l iào
骨朵	g ū d uǒ
骨朵儿	g ū d uǒ er
骨架	g ǔ j ià
骨殖	g ǔ sh i
骨气	g ǔ q ì
骨灰	g ǔ h uī
骨灰盒	g ǔ h uī h é
骨炭	g ǔ t àn
骨牌	g ǔ p ái
骨痨	g ǔ l áo
骨瘦如柴	g ǔ sh òu r ú ch ái
骨瘦如豺	g ǔ sh òu r ú ch ái
骨瘦形销	g ǔ sh òu x íng x iāo
骨盆	g ǔ p én
骨碌	g ū l ù
骨碌碌	g ū l ù l ù
骨碎补	g ǔ s uì b ǔ
骨科	g ǔ k ē
骨粉	g ǔ f ěn
骨结核	g ǔ j ié h é
骨肉	g ǔ r òu
骨肉团圆	g ǔ r òu t uán y uán
骨肉未寒	g ǔ r òu w èi h án
骨肉相残	g ǔ r òu x iāng c án
骨肉相连	g ǔ r òu x iāng l ián
骨肉离散	g ǔ r òu l í s àn
骨肉至亲	g ǔ r òu zh ì q īn
骨胶	g ǔ j iāo
骨腾肉飞	g ǔ t éng r òu f ēi
骨膜	g ǔ m ó
骨节	g ǔ j ié
骨董	g ǔ d ǒng
骨血	g ǔ x uè
骨质	g ǔ zh ì
骨软筋酥	g ǔ r uǎn j īn s ū
骨软筋麻	g ǔ r uǎn j īn m á
骨软肉酥	g ǔ r uǎn r òu s ū
骨骼	g ǔ g é
骨骼肌	g ǔ g é j ī
骨髓	g ǔ s uǐ
骨鲠	g ǔ g ěng
骨鲠之臣	g ǔ g ěng zh ī ch én
骨鲠在喉	g ǔ g ěng z ài h óu
骩	w ěi
骪	w ěi
骫	w ěi
骬	y ú
骭	g àn
骮	y ì
骯	āng
骰	t óu
骰子	t óu z i
骱	j iè
骲	b ào
骳	b èi
骴	c ī
骵	t ǐ
骶	d ǐ
骶椎	d ǐ zh uī
骶骨	d ǐ g ǔ
骷	k ū
骸	h ái
骸骨	h ái g ǔ
骹	q iāo
骺	h óu
骻	k uà
骼	g é
骽	t uǐ
骾	g ěng
骿	p ián
髀	b ì
髁	k ē
髂	q ià
髃	y ú
髄	s uǐ
髅	l óu
髆	b ó
髇	x iāo
髈	b ǎng
髉	b ó
髊	c ī
髋	k uān
髋骨	k uān g ǔ
髌	b ìn
髌骨	b ìn g ǔ
髍	m ó
髎	l iáo
髏	l óu
髐	x iāo
髑	d ú
髒	z āng
髓	s uǐ
體	t ǐ
髕	b ìn
髖	k uān
髗	l ú
高	g āo
高下任心	g āo x ià r èn x īn
高下其手	g āo x ià q í sh ǒu
高不凑低不就	g āo b ù c òu d ī b ù j iù
高不可攀	g āo b ù k ě p ān
高不可登	g āo b ù k ě d ēng
高不成低不就	g āo b ù ch éng d ī b ù j iù
高不辏低不就	g āo b ù c òu d ī b ù j iù
高个	g āo g è
高个儿	g āo g è er
高个子	g āo g è z i
高中	g āo zh ōng
高丽	g āo l í
高丽参	g āo l í sh ēn
高丽纸	g āo l í zh ǐ
高举深藏	g āo j ǔ sh ēn c áng
高举远蹈	g āo j ǔ y uǎn d ǎo
高义薄云	g āo y ì b ó y ún
高义薄云天	g āo y ì b áo y ún t iān
高价	g āo j ià
高估	g āo g ū
高位重禄	g āo w èi zh òng l ù
高低杠	g āo d ī g àng
高傲自大	g āo ào z ì d à
高八度	g āo b ā d ù
高兴	g āo x ìng
高冠博带	g āo g uān b ó d ài
高分子	g āo f ēn z ǐ
高分子功能材料	g āo f ēn z ǐ g ōng n éng c ái l iào
高分子化合物	g āo f ēn z ǐ h uà h é w ù
高分子化工	g āo f ēn z ǐ h uà g ōng
高压	g āo y ā
高压电	g āo y ā d iàn
高压线	g āo y ā x iàn
高压锅	g āo y ā g uō
高参	g āo c ān
高发	g āo f ā
高句骊	g āo g ōu l í
高台	g āo t ái
高名大姓	g āo m íng d à x ìng
高地	g āo d ì
高坡	g āo p ō
高堂大厦	g āo t áng d à sh à
高处	g āo ch ù
高大	g āo d à
高天厚地	g āo t iān h òu d ì
高头大马	g āo t óu d à m ǎ
高头讲章	g āo t óu j iǎng zh āng
高姓大名	g āo x ìng d à m íng
高官重禄	g āo g uān zh òng l ù
高射炮	g āo sh è p ào
高尔夫球	g āo ěr f ū q iú
高层建筑	g āo c éng j iàn zh ù
高山仰之	g āo sh ān y ǎng zh ī
高山仰止	g āo sh ān y ǎng zh ǐ
高山反应	g āo sh ān f ǎn y ìng
高山峻岭	g āo sh ān j ùn l ǐng
高山景行	g āo sh ān j ǐng x íng
高岭土	g āo l ǐng t ǔ
高崖	g āo y á
高差	g āo ch à
高师	g āo sh ī
高帽子	g āo m ào z i
高干	g āo g àn
高年级	g āo n ián j í
高度	g āo d ù
高度计	g āo d ù j ì
高强	g āo q iáng
高情远意	g āo q íng y uǎn y ì
高情远致	g āo q íng y uǎn zh ì
高情远韵	g āo q íng y uǎn y ùn
高情逸兴	g āo q íng y ì x īng
高才卓识	g āo c ái zh uó sh í
高才大学	g āo c ái d à x ué
高才远识	g āo c ái y uǎn sh í
高技术	g āo j ì sh ù
高挑	g āo t iǎo
高挑儿	g āo t iǎo ér
高掌远跖	g āo zh ǎng y uǎn zh í
高掌远蹠	g āo zh ǎng y uǎn zh í
高效能	g āo x iào n éng
高教	g āo j iào
高文大册	g āo w én d à c è
高明远识	g āo m íng y uǎn sh í
高枝	g āo zh ī
高标号	g āo b iāo h ào
高校	g āo x iào
高梁面	g āo l iáng m iàn
高楼大厦	g āo l óu d à sh à
高汤	g āo t āng
高涨	g āo zh ǎng
高深莫测	g āo sh ēn m ò c è
高爵重禄	g āo j ué zh òng l ù
高牙大纛	g āo y á d à d ào
高甲戏	g āo j iǎ x ì
高看	g āo k àn
高着	g āo zh āo
高睨大谈	g āo n ì d à t án
高瞻远瞩	g āo zh ān y uǎn zh ǔ
高知	g āo zh ī
高碳钢	g āo t àn g āng
高祖父	g āo z ǔ f ù
高空	g āo k ōng
高空作业	g āo k ōng z uò y è
高空槽	g āo k ōng c áo
高等学校	g āo d ěng x ué x iào
高等教育	g āo d ěng j iào y ù
高粱米	g āo l iáng m ǐ
高精尖	g āo j īng j iān
高级中学	g āo j í zh ōng x ué
高纬度	g āo w ěi d ù
高纯	g āo ch ún
高翔远引	g āo x iáng y uǎn y ǐn
高而不危	g āo ér b ù w ēi
高能	g āo n éng
高腰	g āo y āo
高节清风	g āo j ié q īng f ēng
高蛋白	g āo d àn b ái
高血压	g āo x uè y ā
高血脂	g āo x uè zh ī
高见	g āo j iàn
高见远识	g āo j iàn y uǎn sh í
高论	g āo l ùn
高识远见	g āo sh í y uǎn j iàn
高调	g āo d iào
高谈大论	g āo t án d à l ùn
高谈弘论	g āo t án h óng l ùn
高谈虚论	g āo t án x ū l ùn
高谈阔论	g āo t án k uò l ùn
高足弟子	g āo z ú d ì z ǐ
高跟儿	g āo g ēn er
高蹈远举	g āo d ǎo y uǎn j ǔ
高车驷马	g āo ch ē s ì m ǎ
高远	g āo y uǎn
高速钢	g āo s ù g āng
高遏行云	g āo è x íng y ún
高门大屋	g āo m én d à w ū
高门大户	g āo m én d à h ù
高难	g āo n án
高领	g āo l ǐng
高频	g āo p ín
高频头	g āo p ín t óu
高风亮节	g āo f ēng l iàng j ié
高风劲节	g āo f ēng j ìng j ié
高风峻节	g āo f ēng j ùn j ié
高飞远举	g āo f ēi y uǎn j ǔ
高飞远翔	g āo f ēi y uǎn x iáng
高飞远走	g āo f ēi y uǎn z ǒu
高飞远遁	g āo f ēi y uǎn d ùn
高飞远集	g āo f ēi y uǎn j í
高高兴兴	g āo g āo x ìng x ìng
高高在上	g āo g āo z ài sh àng
髙	g āo
髚	q iào
髛	k āo
髜	q iǎo
髝	l áo
髞	s ào
髟	b iāo
髠	k ūn
髡	k ūn
髢	d í
髣	f ǎng
髤	x iū
髥	r án
髦	m áo
髧	d àn
髨	k ūn
髩	b ìn
髪	f à
髫	t iáo
髬	p ī
髭	z ī
髮	f à
髯	r án
髰	t ì
髱	b ào
髲	b ì
髳	m áo
髴	f ú
髵	ér
髶	r óng
髷	q ū
髸	g ōng
髹	x iū
髺	k uò
髻	j ì
髼	p éng
髽	zh uā
髾	sh āo
髿	s uō
鬀	t ì
鬁	l ì
鬂	b ìn
鬃	z ōng
鬃刷	z ōng sh uā
鬄	d í
鬅	p éng
鬆	s ōng
鬇	zh ēng
鬈	q uán
鬈发	q uán f à
鬈曲	q uán q ū
鬉	z ōng
鬊	sh ùn
鬋	j iǎn
鬌	t uǒ
鬍	h ú
鬎	l à
鬏	j iū
鬐	q í
鬑	l ián
鬒	zh ěn
鬓	b ìn
鬓乱钗横	b ìn l uàn ch āi h éng
鬓发	b ìn f à
鬓角	b ìn j iǎo
鬔	p éng
鬕	m à
鬖	s ān
鬗	m án
鬘	m án
鬙	s ēng
鬚	x ū
鬛	l iè
鬜	q iān
鬝	q iān
鬞	n áng
鬟	h uán
鬠	k uò
鬡	n íng
鬢	b ìn
鬣	l iè
鬤	r áng
鬥	d òu
鬦	d òu
鬧	n ào
鬨	h òng
鬩	x ì
鬪	d òu
鬫	h ǎn
鬬	d òu
鬭	d òu
鬮	j iū
鬯	ch àng
鬰	y ù
鬱	y ù
鬲	g é
鬳	y àn
鬴	f ǔ
鬵	q ín
鬶	g uī
鬷	z ōng
鬸	l iù
鬹	g uī
鬺	sh āng
鬻	y ù
鬻儿卖女	y ù ér m ài n ǚ
鬻文为生	y ù w én w éi sh ēng
鬻矛誉楯	y ù m áo y ù d ùn
鬻驽窃价	y ù n ú q iè j ià
鬻鸡为凤	y ù j ī w éi f èng
鬼	g uǐ
鬼使神差	g uǐ sh ǐ sh én ch āi
鬼剃头	g uǐ t ì t óu
鬼吒狼嚎	g uǐ zh à l áng h áo
鬼哭神号	g uǐ k ū sh én h áo
鬼头	g uǐ t óu
鬼头滑脑	g uǐ t óu h uá n ǎo
鬼头鬼脑	g uǐ t óu g uǐ n ǎo
鬼怕恶人	g uǐ p à è r én
鬼打墙	g uǐ d ǎ q iáng
鬼把戏	g uǐ b ǎ x ì
鬼泣神号	g uǐ q ì sh én h ào
鬼混	g uǐ h ùn
鬼瞰其室	g uǐ k àn q í sh ì
鬼神不测	g uǐ sh én b ù c è
鬼神莫测	g uǐ sh én m ò c è
鬼蜮伎俩	g uǐ y ù j ì l iǎng
鬼见愁	g uǐ j iàn ch óu
鬼魅伎俩	g uǐ m èi j ì l iǎng
鬽	m èi
鬾	j ì
鬿	q í
魀	g à
魁	k uí
魁北克	k uí b ěi k è
魁梧奇伟	k uí w ú q í w ěi
魂	h ún
魂不守宅	h ún b ù sh ǒu zh ái
魂不守舍	h ún b ù sh ǒu sh è
魂不着体	h ún b ù zh uó t ǐ
魂不著体	h ún b ù zh uó t ǐ
魂不负体	h ún b ù f ù t ǐ
魂不赴体	h ún b ù f ù t ǐ
魂不附体	h ún b ù f ù t ǐ
魂丧神夺	h ún s àng sh én d uó
魂亡胆落	h ún w áng d ǎn l uò
魂亡魄失	h ún w áng p ò sh ī
魂惊胆落	h ún j īng d ǎn l uò
魂惊胆颤	h ún j īng d ǎn ch àn
魂惊魄落	h ún j īng p ò l uò
魂慑色沮	h ún sh è s è j ǔ
魂慴色沮	h ún sh è s è j ǔ
魂消胆丧	h ún x iāo d ǎn s àng
魂消魄丧	h ún x iāo p ò s àng
魂耗魄丧	h ún h ào p ò s àng
魂颠梦倒	h ún d iān m èng d ǎo
魂飘魄散	h ún p iāo p ò s àn
魂飞神丧	h ún f ēi sh én s àng
魂飞胆丧	h ún f ēi d ǎn s àng
魂飞胆落	h ún f ēi d ǎn l uò
魂飞胆裂	h ún f ēi d ǎn l iè
魂飞胆颤	h ún f ēi d ǎn ch àn
魂飞魄丧	h ún f ēi p ò s āng
魂飞魄散	h ún f ēi p ò s àn
魃	b á
魄	p ò
魄散魂消	p ò s àn h ún x iāo
魄散魂飘	p ò s àn h ún p iāo
魄散魂飞	p ò s àn h ún f ēi
魄消魂散	p ò x iāo h ún s àn
魅	m èi
魆	x ū
魆风骤雨	x ū f ēng zh òu y ǔ
魇	y ǎn
魈	x iāo
魉	l iǎng
魊	y ù
魋	t uí
魌	q ī
魍	w ǎng
魎	l iǎng
魏	w èi
魏阙	w èi q uè
魏颗结草	w èi k ē j ié c ǎo
魏鹊无枝	w èi q uè w ú zh ī
魐	g ān
魑	ch ī
魒	p iāo
魓	b ì
魔	m ó
魔头	m ó t óu
魔女	m ó n ǚ
魔教	m ó j iào
魔术	m ó sh ù
魔术师	m ó sh ù sh ī
魔爪	m ó zh ǎo
魔王	m ó w áng
魔高一丈	m ó g āo y í zh àng
魕	j ǐ
魖	x ū
魗	ch ǒu
魘	y ǎn
魙	zh ān
魚	y ú
魛	d āo
魜	r én
魝	j ié
魞	b ā
魟	h óng
魠	t uō
魡	d iào
魢	j ǐ
魣	x ù
魤	é
魥	è
魦	sh ā
魧	h áng
魨	t ún
魩	m ò
魪	j iè
魫	sh ěn
魬	b ǎn
魭	y uán
魮	p í
魯	l ǔ
魰	w én
魱	h ú
魲	l ú
魳	z ā
魴	f áng
魵	f én
魶	n à
魷	y óu
魸	p iàn
魹	m ó
魺	h é
魻	x iá
魼	q ū
魽	h án
魾	p ī
魿	l íng
鮀	t uó
鮁	b ō
鮂	q iú
鮃	p íng
鮄	f ú
鮅	b ì
鮆	c ǐ
鮇	w èi
鮈	j ū
鮉	d iāo
鮊	b à
鮋	y óu
鮌	g ǔn
鮍	p ī
鮎	n ián
鮏	x īng
鮐	t ái
鮑	b ào
鮒	f ù
鮓	zh ǎ
鮔	j ù
鮕	g ū
鮖	sh í
鮗	d ōng
鮙	t à
鮚	j ié
鮛	sh ū
鮜	h òu
鮝	x iǎng
鮞	ér
鮟	àn
鮠	w éi
鮡	zh ào
鮢	zh ū
鮣	y ìn
鮤	l iè
鮥	l uò
鮦	t óng
鮧	t ǐ
鮨	y ì
鮩	b ìng
鮪	w ěi
鮫	j iāo
鮬	k ū
鮭	g uī
鮮	x iān
鮯	g é
鮰	h uí
鮱	l ǎo
鮲	f ú
鮳	k ào
鮴	x iū
鮵	d uó
鮶	j ūn
鮷	t í
鮸	m iǎn
鮹	sh āo
鮺	zh ǎ
鮻	s uō
鮼	q īn
鮽	y ú
鮾	n ěi
鮿	zh é
鯀	g ǔn
鯁	g ěng
鯂	s ū
鯃	w ú
鯄	q iú
鯅	sh ān
鯆	p ū
鯇	h uàn
鯈	t iáo
鯉	l ǐ
鯊	sh ā
鯋	sh ā
鯌	k ào
鯍	m éng
鯎	ch éng
鯏	l í
鯐	z ǒu
鯑	x ī
鯒	y ǒng
鯓	sh ēn
鯔	z ī
鯕	q í
鯖	zh ēng
鯗	x iǎng
鯘	n ěi
鯙	ch ún
鯚	j ì
鯛	d iāo
鯜	q iè
鯝	g ù
鯞	zh ǒu
鯟	d ōng
鯠	l ái
鯡	f èi
鯢	n í
鯣	y ì
鯤	k ūn
鯥	l ù
鯦	j iù
鯧	ch āng
鯨	j īng
鯩	l ún
鯪	l íng
鯫	z ōu
鯬	l í
鯭	m ěng
鯮	z ōng
鯯	zh ì
鯰	n ián
鯱	h ǔ
鯲	y ú
鯳	d ǐ
鯴	sh ī
鯵	sh ēn
鯶	h uàn
鯷	t í
鯸	h óu
鯹	x īng
鯺	zh ū
鯻	l à
鯼	z ōng
鯽	z éi
鯾	b iān
鯿	b iān
鰀	h uàn
鰁	q uán
鰂	z éi
鰃	w ēi
鰄	w ēi
鰅	y ú
鰆	ch ūn
鰇	r óu
鰈	d ié
鰉	h uáng
鰊	l iàn
鰋	y ǎn
鰌	q iū
鰍	q iū
鰎	j iǎn
鰏	b ī
鰐	è
鰑	y áng
鰒	f ù
鰓	s āi
鰔	g ǎn
鰕	x iā
鰖	t uǒ
鰗	h ú
鰘	sh ì
鰙	r uò
鰚	x uān
鰛	w ēn
鰜	q iàn
鰝	h ào
鰞	w ū
鰟	f áng
鰠	s āo
鰡	l iú
鰢	m ǎ
鰣	sh í
鰤	sh ī
鰥	g uān
鰦	z ī
鰧	t éng
鰨	t ǎ
鰩	y áo
鰪	é
鰫	y óng
鰬	q ián
鰭	q í
鰮	w ēn
鰯	r uò
鰰	sh én
鰱	l ián
鰲	áo
鰳	l è
鰴	h uī
鰵	m ǐn
鰶	j ì
鰷	t iáo
鰸	q ū
鰹	j iān
鰺	sh ēn
鰻	m án
鰼	x í
鰽	q iú
鰾	b iào
鰿	j ì
鱀	j ì
鱁	zh ú
鱂	j iāng
鱃	x iū
鱄	zh uān
鱅	y ōng
鱆	zh āng
鱇	k āng
鱈	x uě
鱉	b iē
鱊	y ù
鱋	q ū
鱌	x iàng
鱍	b ō
鱎	j iǎo
鱏	x ún
鱐	s ù
鱑	h uáng
鱒	z ūn
鱓	sh àn
鱔	sh àn
鱕	f ān
鱖	g uì
鱗	l ín
鱘	x ún
鱙	m iáo
鱚	x ǐ
鱛	z ēng
鱜	x iāng
鱝	f èn
鱞	g uān
鱟	h òu
鱠	k uài
鱡	z éi
鱢	s āo
鱣	zh ān
鱤	g ǎn
鱥	g uì
鱦	y ìng
鱧	l ǐ
鱨	ch áng
鱩	l éi
鱪	sh ǔ
鱫	ài
鱬	r ú
鱭	j ì
鱮	x ù
鱯	h ù
鱰	sh ǔ
鱱	l ì
鱲	l iè
鱳	l ì
鱴	m iè
鱵	zh ēn
鱶	x iǎng
鱷	è
鱸	l ú
鱹	g uàn
鱺	l í
鱻	x iān
鱼	y ú
鱼与熊掌	y ú y ǔ x ióng zh ǎng
鱼丽于罶	y ú l í y ú l iǔ
鱼书雁信	y ú sh ū y àn x ìn
鱼书雁帖	y ú sh ū y àn t iě
鱼传尺素	y ú ch uán ch ǐ s ù
鱼刺	y ú c ì
鱼县鸟窜	y ú x iàn n iǎo c uàn
